Equity,Brazil,China,Japan,South Africa,United States
2014,-0.034738743,0.245363295,-0.566281141,0.792700362,-0.437043773
2015,-0.024068708,0.199734241,-0.57859576,0.81628685,-0.413356623
2016,0.01025865,0.166573588,-0.600482405,0.825986826,-0.40233666
2017,0.006341203,0.152886709,-0.630098887,0.84795583,-0.377084856
2018,-0.023772835,0.202829541,-0.62848113,0.813671268,-0.364246845
