Quality,Brazil,China,Japan,South Africa,United States
,-0.662593936,-0.845432155,0.249957812,0.367510124,0.890558156
,-0.649473574,-0.776015123,0.218466711,0.29144903,0.915572956
,-0.70577892,-0.678839797,0.222669745,0.256465108,0.905483864
,-0.713613825,-0.605961375,0.280292422,0.108237371,0.931045407
